tag,word,pos
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Que,pr000000
pr,promos,vssp000
vr,tienes,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,Buena,aq0000
pr,promo,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Jaja,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Algo,rg
*,mejor,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Que,cs
*,me,p0000000
vr,pidas,vmsp000
vr,ofrecer,vmn0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pues,cs
pr,bud,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Para,sp000
vr,animar,vmn0000
*,me,pp000000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
*,la,da0000
*,misma,di0000
*,direccion,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Yo,pp000000
vr,estare,np00000
*,ahi,np00000
*,despues,rg
*,de,sp000
*,las,da0000
ad,ocho,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pues,cs
*,el,da0000
ad,30,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,ay,i
*,gracias,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Entonces,rg
*,me,pp000000
*,lo,pp000000
vr,llevan,vmip000
*,despues,rg
*,de,sp000
*,las,da0000
ad,ocho,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,Hoy,rg
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,No,rn
*,se,p0000000
*,que,cs
vr,puedan,vmsp000
vr,mandar,vmn0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Hay,vaip000
pr,opciones,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Voy,vmip000
ad,seguido,vmp0000
*,a,sp000
*,el,da0000
*,pero,cc
*,pues,cs
pr,lentes,nc0p000
pr,hieleras,nc0p000
pr,algo,pi000000
*,la,pp000000
pr,gorra,vmsp000
ng,no,rn
*,me,pp000000
vr,serviria,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Le,pp000000
vr,voy,vmip000
*,mas,rg
*,a,sp000
pr,lentes,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
pr,boletos,nc0p000
*,para,sp000
pr,hielera,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Me,pp000000
vr,dijieron,vmis000
*,que,cs
vr,tendrian,vmip000
*,presentes,aq0000
*,para,sp000
*,el,da0000
*,dia,nc0s000
*,de,sp000
*,las,da0000
*,madres,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,Manana,np00000
vr,podrias,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,A,sp000
*,las,da0000
ad,ocho,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,A,sp000
*,el,da0000
ad,tiempo,nc0s000
*,por,sp000
*,favor,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Pagare,np00000
*,con,sp000
ad,200,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
vr,quiero,vmip000
*,mas,rg
*,te,pp000000
vr,puedo,vmip000
vr,avisar,vmn0000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ng,No,rn
vr,hay,vaip000
*,nada,pi000000
ad,extra,aq0000
*,si,cs
*,recomiendo,vmg0000
*,gente,nc0s000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Para,sp000
*,recomendar,vmn0000
*,te,pp000000
*,a,sp000
*,mis,dp0000
*,amigas,nc0p000
*,jaja,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,O,cc
*,es,vsip000
*,lo,da0000
*,mismo,di0000
*,si,cs
*,las,da0000
vr,encargo,nc0s000
*,yo,pp000000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,De,sp000
*,que,pr000000
vr,trata,vmip000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,ah,vmis000
*,en,sp000
*,serio,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Aparte,np00000
*,de,sp000
*,la,da0000
pr,promo,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Haber,np00000
vr,manda,vmip000
*,me,pp000000
*,la,da0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Y,cc
*,como,cs
vr,hago,vmip000
vr,valida,vmip000
*,la,da0000
pr,promocion,nc0s000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
*,verdad,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Bueno,i
*,les,pp000000
vr,voy,vmip000
*,a,sp000
vr,decir,vmn0000
*,a,sp000
vr,ver,vmn0000
*,que,cs
vr,dicen,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Por,sp000
*,lo,da0000
*,pronto,rg
*,asi,np00000
*,como,cs
vr,habiamos,van0000
vr,quedado,vmp0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Oye,vmm0000
*,esa,dd0000
pr,promocion,nc0s000
*,como,cs
*,esta,dd0000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pero,cc
vr,trae,vmip000
ad,un,di0000
*,cupon,nc0s000
ad,gratis,rg
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Haaa,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pero,cc
vr,tengo,vmip000
*,que,cs
vr,ir,vmn0000
*,a,sp000
*,la,da0000
*,tienda,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,A,sp000
vr,cambiar,vmn0000
*,lo,pp000000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Es,vsip000
*,por,sp000
*,tel,nc0s000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,En,sp000
*,serio,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pues,cs
af,mejor,rg
*,ese,dd0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,El,da0000
*,de,sp000
ad,235,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Haa,np00000
*,pero,cc
pr,dominos,np00000
ng,no,rn
vr,tiene,vmip000
*,para,sp000
*,aca,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,Manana,np00000
*,a,sp000
*,las,da0000
ad,ocho,dn0000
*,entonces,rg
*,verdad,nc0s000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Ese,dd0000
af,mejor,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Buenas,aq0000
*,tardes,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Oye,vmm0000
*,aqui,nc0s000
vr,estan,vmip000
*,los,da0000
*,de,sp000
pr,modelo,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Dicen,vmip000
*,que,cs
ng,no,rn
vr,traen,vmip000
*,mi,dp0000
pr,pedido,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Como,cs
*,te,p0000000
*,lo,pp000000
vr,hice,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,De,sp000
ad,30,z0
pe,latas,nc0p000
*,con,sp000
ad,9,z0
*,de,sp000
pr,regalo,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pues,cs
ad,aqui,nc0s000
vr,estan,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pero,cc
*,que,cs
ng,no,rn
vr,pedi,vmip000
*,esa,dd0000
pr,promo,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Me,pp000000
vr,quieren,vmip000
vr,dejar,vmn0000
*,solo,aq0000
ad,30,z0
pr,latas,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Sin,sp000
*,las,da0000
ad,nueve,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Que,cs
vr,paso,nc0s000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Y,cc
*,luego,rg
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Ya,rg
vr,estan,vmip000
ad,aqui,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Ya,rg
vr,se,p0000000
vr,fue,vmis000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Me,pp000000
vr,haces,vmip000
*,el,da0000
pr,pedido,nc0s000
*,de,sp000
*,nuevo,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,O,cc
*,que,cs
*,onda,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ag,No,rn
*,se,p0000000
vr,vale,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hoy,rg
vr,vengo,vmip000
*,en,sp000
*,friega,nc0s000
*,de,sp000
*,el,da0000
*,trabajo,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,O,cc
*,lo,da0000
vr,hago,vmip000
*,por,sp000
*,telefono,nc0s000
*,el,da0000
pr,pedido,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pues,cs
*,me,p0000000
vr,queria,vmip000
vr,dejar,vmn0000
*,las,da0000
ad,30,z0
*,nada,pi000000
*,mas,rg
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Me,pp000000
vr,dijo,vmis000
*,que,cs
ng,no,rn
*,me,pp000000
vr,podia,vmip000
*,dar,vmn0000
*,las,da0000
ad,nueve,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,PM,np00000
*,Las,pp000000
*,llamadas,nc0p000
*,y,cc
*,mensajes,nc0p000
*,enviados,aq0000
*,a,sp000
*,este,dd0000
*,chat,nc0s000
*,ahora,rg
*,estan,vmip000
*,seguros,nc0p000
*,con,sp000
*,cifrado,aq0000
*,de,sp000
*,extremo,nc0s000
*,a,sp000
*,Toca,np00000
*,para,sp000
*,mas,rg
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Te,pp000000
vr,pedi,vmip000
ad,una,di0000
pr,promocion,nc0s000
*,para,sp000
*,el,da0000
*,dia,nc0s000
*,de,sp000
vr,era,vsii000
*,con,sp000
*,los,da0000
pr,pases,nc0p000
*,de,sp000
pr,David,np00000
pr,Guetta,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,pro,nc0s000
*,me,p0000000
*,marcaron,vmis000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,se,p0000000
*,que,cs
*,es,vsip000
*,probable,aq0000
*,que,cs
*,me,p0000000
vr,mandes,vmip000
*,a,sp000
vr,volar,vmn0000
*,y,cc
*,me,p0000000
vr,vea,vmsp000
*,super,np00000
*,por,sp000
*,las,da0000
vr,condiciones,nc0p000
*,de,sp000
*,el,da0000
*,pero,cc
vr,podrian,vmip000
vr,entregar,vmn0000
*,lo,pp000000
ad,hoy,rg
*,en,sp000
*,el,da0000
*,transcurso,nc0s000
*,de,sp000
*,la,da0000
ad,noche,nc0s000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,esta,dd0000
af,bien,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Gracias,i
*,!,fat
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Los,da0000
vr,espero,vmip000
ad,manana,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Va,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,aun,rg
ng,no,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Podrian,np00000
vr,intentar,vmn0000
vr,buscar,vmn0000
*,me,pp000000
*,a,sp000
*,este,dd0000
*,numero,nc0s000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,A,sp000
*,partir,vmn0000
*,de,sp000
*,las,da0000
ad,7,w
ad,pm,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,gracias,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,hoy,rg
*,me,p0000000
vr,hablo,vmip000
*,Alberto,np00000
*,Gomez,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,me,pp000000
vr,dijo,vmis000
*,que,cs
*,me,p0000000
*,pero,cc
*,aun,rg
ng,no,rn
*,se,p0000000
vr,ha,vaip000
vr,reportado,vmp0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Va,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
*,Anahi,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,si,cs
vr,era,vsii000
*,Anahi,np00000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,deja,vmip000
*,me,pp000000
vr,ver,vmn0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,yo,pp000000
*,te,p0000000
vr,aviso,nc0s000
ad,manana,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,sip,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
*,buen,aq0000
*,dia,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Hay,vaip000
pr,promociones,nc0p000
ad,especiales,aq0000
*,para,sp000
*,los,da0000
pr,compadres,nc0p000
pr,now,nc0s000
*,o,cc
*,ya,rg
ng,no,rn
vr,existe,vmip000
*,ese,dd0000
pr,programa,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,pp000000
*,oye,vmip000
*,bueno,aq0000
vr,programa,nc0s000
*,me,p0000000
ad,un,di0000
ad,24,z0
*,para,sp000
*,las,da0000
ad,8,z0
*,de,sp000
*,la,da0000
ad,noche,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,En,sp000
*,casa,nc0s000
*,de,sp000
*,mis,dp0000
*,suegros,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Calle,np00000
*,navio,nc0s000
*,535,z0
*,colonia,nc0s000
*,golondrinas,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Apodaca,vmip000
*,nuevo,aq0000
*,leon,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Sii,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Porfavor,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
*,porfavor,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Te,pp000000
vr,pago,nc0s000
*,exacto,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,pp000000
*,mi,dp0000
*,telefono,nc0s000
*,es,vsip000
*,8118949748,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Que,cs
pr,promos,vssp000
vr,hay,vaip000
*,para,sp000
*,los,da0000
pr,compadres,nc0p000
pr,now,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Okk,np00000
*,gracias,nc0p000
vr,deja,vmip000
vr,veo,vmip000
*,yo,pp000000
*,les,pp000000
vr,aviso,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Muchas,di0000
*,gracias,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Que,cs
pr,promo,vmsp000
vr,hay,vaip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,vsis000
*,el,da0000
ad,viernes,w
*,te,p0000000
vr,digo,vmip000
*,si,cs
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Gracias,i
*,por,sp000
*,el,da0000
*,momento,nc0s000
ng,no,rn
*,requiero,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Muchas,di0000
*,gracias,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Eh,pp000000
pr,hieleras,nc0p000
*,tal,dd0000
*,no,rn
*,de,sp000
*,marca,nc0s000
*,sino,cc
*,a,sp000
*,el,da0000
*,menos,aq0000
*,de,sp000
pr,hielo,nc0s000
pr,seco,aq0000
*,con,sp000
*,la,da0000
*,impresion,nc0s000
pr,bud,np00000
pr,light,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Estaria,np00000
af,chido,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Yo,pp000000
vr,tengo,vmip000
*,una,pi000000
*,exclusiva,aq0000
*,para,sp000
*,mis,dp0000
pr,cervezas,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pero,cc
ng,no,rn
vr,es,vsip000
pr,bud,np00000
ad,light,np00000
*,haha,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Imagina,np00000
*,te,p0000000
*,cual,pi000000
*,es,vsip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,pp000000
*,esta,dd0000
*,bien,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
pr,Promo,np00000
*,para,sp000
*,el,da0000
*,clasico,nc0s000
*,de,sp000
ad,hoy,rg
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,24,z0
*,mas,rg
ad,9,z0
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Bu,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,pp000000
*,entonces,rg
vr,programa,nc0s000
*,me,p0000000
*,un,di0000
ad,24,z0
*,para,sp000
*,las,da0000
ad,7,w
*,de,sp000
*,la,da0000
ad,noche,nc0s000
*,se,p0000000
vr,puede,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,??,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,En,sp000
*,la,da0000
*,siguiente,aq0000
*,direccion,vmic000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Asi,np00000
vr,es,vsip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Rio,np00000
*,misouri,aq0000
*,136,z0
*,colonia,nc0s000
*,jardines,nc0p000
*,de,sp000
*,huinala,vmip000
*,en,sp000
*,apodaca,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Rio,np00000
*,rhin,np00000
*,y,cc
*,rio,nc0s000
*,orinoco,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Ntp,vsis000
*,la,da0000
pr,propina,nc0s000
*,es,vsip000
*,para,sp000
*,el,da0000
*,repartidor,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Le,pp000000
vr,doy,vmip000
ad,200,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Asi,np00000
vr,queda,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Gracias,np00000
*,a,sp000
*,ti,pp000000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,manda,vmip000
*,me,pp000000
ad,un,di0000
ad,24,z0
*,porfa,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,Antes,rg
*,de,sp000
*,las,da0000
ad,7,z0
*,please,vmsi000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Para,sp000
vr,ver,vmn0000
*,el,da0000
*,fut,nc0s000
*,bien,rg
*,acompanado,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,jaja,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
*,gracias,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Muchas,di0000
*,gracias,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,PM,np00000
*,Las,pp000000
*,llamadas,nc0p000
*,y,cc
*,mensajes,nc0p000
*,enviados,aq0000
*,a,sp000
*,este,dd0000
*,chat,nc0s000
*,ahora,rg
*,estan,vmip000
*,seguros,nc0p000
*,con,sp000
*,cifrado,aq0000
*,de,sp000
*,extremo,nc0s000
*,a,sp000
*,Toca,np00000
*,para,sp000
*,mas,rg
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ng,No,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,se,p0000000
vr,pico,nc0s000
*,solo,aq0000
*,disculpa,nc0s000
*,me,p0000000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Jaja,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Manda,np00000
*,me,pp000000
ad,un,di0000
ad,30,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,de,sp000
pr,Bud,np00000
ad,ligth,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Para,sp000
ad,orbita,vmip000
*,por,sp000
*,favor,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Si,cs
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Pago,nc0s000
*,con,sp000
ad,250,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Igualmente,rg
*,cuida,vmip000
*,te,pp000000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Gracias,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Jeje,np00000
af,sobres,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Oye,vsis000
*,amiga,nc0s000
*,no,rn
vr,sabes,vmip000
*,qe,pp000000
vr,paso,vmip000
*,con,sp000
*,lo,da0000
*,de,sp000
*,el,da0000
pr,viaje,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ng,Noo,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Te,pp000000
*,los,da0000
vr,vendo,vmip000
*,jaja,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,hola,i
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,Imediato,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Pago,nc0s000
